nabirds_id,inat_taxon_id,ebird_species_code,taxon_order,kingdom,phylum,class,order,family,genus,specific_epithet,scientific_name,kingdom_common_name,phylum_common_name,class_common_name,order_common_name,family_common_name,genus_common_name,common_name
455,7087,brant,291.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,bernicla,Branta bernicla,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Black Geese,Brant
51,59220,cacgoo1,308.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,hutchinsii,Branta hutchinsii,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Black Geese,Cackling Goose
456,59220,cacgoo1,308.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,hutchinsii,Branta hutchinsii,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Black Geese,Cackling Goose
57,7089,cangoo,319.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,canadensis,Branta canadensis,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Black Geese,Canada Goose
457,7089,cangoo,319.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,canadensis,Branta canadensis,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Black Geese,Canada Goose
60,6921,mutswa,353.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,olor,Cygnus olor,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Swans,Mute Swan
458,6921,mutswa,353.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,olor,Cygnus olor,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Swans,Mute Swan
67,6915,truswa,358.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,buccinator,Cygnus buccinator,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Swans,Trumpeter Swan
459,6915,truswa,358.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,buccinator,Cygnus buccinator,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Swans,Trumpeter Swan
72,6917,tunswa,360.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,columbianus,Cygnus columbianus,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Swans,Tundra Swan
460,6917,tunswa,360.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,columbianus,Cygnus columbianus,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Swans,Tundra Swan
81,7107,wooduc,423.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,sponsa,Aix sponsa,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Wood and Mandarin Ducks,Wood Duck
314,7107,wooduc,423.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,sponsa,Aix sponsa,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Wood and Mandarin Ducks,Wood Duck
613,7107,wooduc,423.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,sponsa,Aix sponsa,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Wood and Mandarin Ducks,Wood Duck
116,558433,buwtea,450.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,discors,Spatula discors,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Shovelers and Allies,Blue-winged Teal
318,558433,buwtea,450.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,discors,Spatula discors,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Shovelers and Allies,Blue-winged Teal
617,558433,buwtea,450.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,discors,Spatula discors,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Shovelers and Allies,Blue-winged Teal
122,558434,cintea,451.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,cyanoptera,Spatula cyanoptera,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Shovelers and Allies,Cinnamon Teal
319,558434,cintea,451.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,cyanoptera,Spatula cyanoptera,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Shovelers and Allies,Cinnamon Teal
618,558434,cintea,451.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,cyanoptera,Spatula cyanoptera,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Shovelers and Allies,Cinnamon Teal
128,558438,norsho,464.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,clypeata,Spatula clypeata,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Shovelers and Allies,Northern Shoveler
320,558438,norsho,464.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,clypeata,Spatula clypeata,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Shovelers and Allies,Northern Shoveler
619,558438,norsho,464.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,clypeata,Spatula clypeata,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Shovelers and Allies,Northern Shoveler
87,558439,gadwal,468.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,strepera,Mareca strepera,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Wigeons and Allies,Gadwall
315,558439,gadwal,468.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,strepera,Mareca strepera,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Wigeons and Allies,Gadwall
614,558439,gadwal,468.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,strepera,Mareca strepera,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Wigeons and Allies,Gadwall
92,485176,amewig,477.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,americana,Mareca americana,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Wigeons and Allies,American Wigeon
316,485176,amewig,477.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,americana,Mareca americana,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Wigeons and Allies,American Wigeon
615,485176,amewig,477.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,americana,Mareca americana,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Wigeons and Allies,American Wigeon
102,6930,mallar3,505.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,platyrhynchos,Anas platyrhynchos,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans","Mallards, Pintails, and Allies",Mallard
317,6930,mallar3,505.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,platyrhynchos,Anas platyrhynchos,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans","Mallards, Pintails, and Allies",Mallard
616,6930,mallar3,505.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,platyrhynchos,Anas platyrhynchos,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans","Mallards, Pintails, and Allies",Mallard
98,6924,ambduc,527.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,rubripes,Anas rubripes,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans","Mallards, Pintails, and Allies",American Black Duck
461,6924,ambduc,527.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,rubripes,Anas rubripes,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans","Mallards, Pintails, and Allies",American Black Duck
109,6948,motduc,531.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,fulvigula,Anas fulvigula,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans","Mallards, Pintails, and Allies",Mottled Duck
462,6948,motduc,531.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,fulvigula,Anas fulvigula,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans","Mallards, Pintails, and Allies",Mottled Duck
130,6933,norpin,548.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,acuta,Anas acuta,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans","Mallards, Pintails, and Allies",Northern Pintail
321,6933,norpin,548.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,acuta,Anas acuta,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans","Mallards, Pintails, and Allies",Northern Pintail
620,6933,norpin,548.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,acuta,Anas acuta,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans","Mallards, Pintails, and Allies",Northern Pintail
147,6937,gnwtea,563.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,crecca,Anas crecca,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans","Mallards, Pintails, and Allies",Common Teal
322,6937,gnwtea,563.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,crecca,Anas crecca,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans","Mallards, Pintails, and Allies",Common Teal
621,6937,gnwtea,563.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,crecca,Anas crecca,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans","Mallards, Pintails, and Allies",Common Teal
153,7057,canvas,616.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,valisineria,Aythya valisineria,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Scaups and Allies,Canvasback
323,7057,canvas,616.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,valisineria,Aythya valisineria,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Scaups and Allies,Canvasback
622,7057,canvas,616.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,valisineria,Aythya valisineria,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Scaups and Allies,Canvasback
159,7056,redhea,617.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,americana,Aythya americana,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Scaups and Allies,Redhead
324,7056,redhea,617.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,americana,Aythya americana,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Scaups and Allies,Redhead
623,7056,redhea,617.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,americana,Aythya americana,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Scaups and Allies,Redhead
161,7044,rinduc,623.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,collaris,Aythya collaris,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Scaups and Allies,Ring-necked Duck
325,7044,rinduc,623.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,collaris,Aythya collaris,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Scaups and Allies,Ring-necked Duck
624,7044,rinduc,623.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,collaris,Aythya collaris,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Scaups and Allies,Ring-necked Duck
168,7047,gresca,643.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,marila,Aythya marila,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Scaups and Allies,Greater Scaup
326,7047,gresca,643.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,marila,Aythya marila,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Scaups and Allies,Greater Scaup
625,7047,gresca,643.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,marila,Aythya marila,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Scaups and Allies,Greater Scaup
174,7054,lessca,649.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,affinis,Aythya affinis,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Scaups and Allies,Lesser Scaup
327,7054,lessca,649.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,affinis,Aythya affinis,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Scaups and Allies,Lesser Scaup
626,7054,lessca,649.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,affinis,Aythya affinis,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Scaups and Allies,Lesser Scaup
179,7024,comeid,664.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,mollissima,Somateria mollissima,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Typical Eiders,Common Eider
295,7024,comeid,664.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,mollissima,Somateria mollissima,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Typical Eiders,Common Eider
463,7024,comeid,664.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,mollissima,Somateria mollissima,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Typical Eiders,Common Eider
696,7024,comeid,664.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,mollissima,Somateria mollissima,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Typical Eiders,Common Eider
181,7111,harduc,675.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Histrionicus,histrionicus,Histrionicus histrionicus,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",,Harlequin Duck
328,7111,harduc,675.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Histrionicus,histrionicus,Histrionicus histrionicus,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",,Harlequin Duck
627,7111,harduc,675.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Histrionicus,histrionicus,Histrionicus histrionicus,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",,Harlequin Duck
187,7036,sursco,676.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,perspicillata,Melanitta perspicillata,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Scoters,Surf Scoter
329,7036,sursco,676.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,perspicillata,Melanitta perspicillata,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Scoters,Surf Scoter
628,7036,sursco,676.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,perspicillata,Melanitta perspicillata,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Scoters,Surf Scoter
192,144222,whwsco2,678.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,deglandi,Melanitta deglandi,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Scoters,American White-winged Scoter
330,144222,whwsco2,678.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,deglandi,Melanitta deglandi,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Scoters,American White-winged Scoter
629,144222,whwsco2,678.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,deglandi,Melanitta deglandi,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Scoters,American White-winged Scoter
201,144220,blksco2,684.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,americana,Melanitta americana,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Scoters,Black Scoter
331,144220,blksco2,684.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,americana,Melanitta americana,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Scoters,Black Scoter
630,144220,blksco2,684.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,americana,Melanitta americana,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Scoters,Black Scoter
203,7170,lotduc,688.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Clangula,hyemalis,Clangula hyemalis,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",,Long-tailed Duck
296,7170,lotduc,688.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Clangula,hyemalis,Clangula hyemalis,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",,Long-tailed Duck
464,7170,lotduc,688.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Clangula,hyemalis,Clangula hyemalis,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",,Long-tailed Duck
697,7170,lotduc,688.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Clangula,hyemalis,Clangula hyemalis,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",,Long-tailed Duck
209,6993,buffle,689.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,albeola,Bucephala albeola,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Goldeneyes and Bufflehead,Bufflehead
332,6993,buffle,689.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,albeola,Bucephala albeola,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Goldeneyes and Bufflehead,Bufflehead
631,6993,buffle,689.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,albeola,Bucephala albeola,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Goldeneyes and Bufflehead,Bufflehead
214,6990,comgol,690.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,clangula,Bucephala clangula,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Goldeneyes and Bufflehead,Common Goldeneye
333,6990,comgol,690.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,clangula,Bucephala clangula,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Goldeneyes and Bufflehead,Common Goldeneye
632,6990,comgol,690.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,clangula,Bucephala clangula,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Goldeneyes and Bufflehead,Common Goldeneye
219,6994,bargol,695.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,islandica,Bucephala islandica,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Goldeneyes and Bufflehead,Barrow's Goldeneye
334,6994,bargol,695.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,islandica,Bucephala islandica,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Goldeneyes and Bufflehead,Barrow's Goldeneye
633,6994,bargol,695.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,islandica,Bucephala islandica,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Goldeneyes and Bufflehead,Barrow's Goldeneye
225,7109,hoomer,700.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Lophodytes,cucullatus,Lophodytes cucullatus,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",,Hooded Merganser
335,7109,hoomer,700.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Lophodytes,cucullatus,Lophodytes cucullatus,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",,Hooded Merganser
634,7109,hoomer,700.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Lophodytes,cucullatus,Lophodytes cucullatus,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",,Hooded Merganser
229,7004,commer,708.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,merganser,Mergus merganser,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Typical Mergansers,Common Merganser
336,7004,commer,708.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,merganser,Mergus merganser,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Typical Mergansers,Common Merganser
635,7004,commer,708.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,merganser,Mergus merganser,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Typical Mergansers,Common Merganser
235,6996,rebmer,716.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,serrator,Mergus serrator,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Typical Mergansers,Red-breasted Merganser
337,6996,rebmer,716.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,serrator,Mergus serrator,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Typical Mergansers,Red-breasted Merganser
636,6996,rebmer,716.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,serrator,Mergus serrator,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Typical Mergansers,Red-breasted Merganser
238,850859,rudduc,724.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,jamaicensis,Oxyura jamaicensis,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Stiff-tailed Ducks,Ruddy Duck
297,850859,rudduc,724.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,jamaicensis,Oxyura jamaicensis,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Stiff-tailed Ducks,Ruddy Duck
465,850859,rudduc,724.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,jamaicensis,Oxyura jamaicensis,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Stiff-tailed Ducks,Ruddy Duck
698,850859,rudduc,724.0,Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,jamaicensis,Oxyura jamaicensis,Animals,Chordates,Birds,Waterfowl,"Ducks, Geese, and Swans",Stiff-tailed Ducks,Ruddy Duck
131,1280,norbob,965.0,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Colinus,virginianus,Colinus virginianus,Animals,Chordates,Birds,Landfowl,New World Quails,Bobwhites,Northern Bobwhite
467,1280,norbob,965.0,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Colinus,virginianus,Colinus virginianus,Animals,Chordates,Birds,Landfowl,New World Quails,Bobwhites,Northern Bobwhite
43,1419,scaqua,1018.0,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,squamata,Callipepla squamata,Animals,Chordates,Birds,Landfowl,New World Quails,Crested Quails,Scaled Quail
466,1419,scaqua,1018.0,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,squamata,Callipepla squamata,Animals,Chordates,Birds,Landfowl,New World Quails,Crested Quails,Scaled Quail
73,1409,calqua,1031.0,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,californica,Callipepla californica,Animals,Chordates,Birds,Landfowl,New World Quails,Crested Quails,California Quail
338,1409,calqua,1031.0,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,californica,Callipepla californica,Animals,Chordates,Birds,Landfowl,New World Quails,Crested Quails,California Quail
637,1409,calqua,1031.0,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,californica,Callipepla californica,Animals,Chordates,Birds,Landfowl,New World Quails,Crested Quails,California Quail
103,1406,gamqua,1042.0,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,gambelii,Callipepla gambelii,Animals,Chordates,Birds,Landfowl,New World Quails,Crested Quails,Gambel's Quail
339,1406,gamqua,1042.0,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,gambelii,Callipepla gambelii,Animals,Chordates,Birds,Landfowl,New World Quails,Crested Quails,Gambel's Quail
638,1406,gamqua,1042.0,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,gambelii,Callipepla gambelii,Animals,Chordates,Birds,Landfowl,New World Quails,Crested Quails,Gambel's Quail
220,906,wiltur,1207.0,Animalia,Chordata,Aves,Galliformes,Phasianidae,Meleagris,gallopavo,Meleagris gallopavo,Animals,Chordates,Birds,Landfowl,"Pheasants, Grouse, and Allies",Turkeys,Wild Turkey
469,906,wiltur,1207.0,Animalia,Chordata,Aves,Galliformes,Phasianidae,Meleagris,gallopavo,Meleagris gallopavo,Animals,Chordates,Birds,Landfowl,"Pheasants, Grouse, and Allies",Turkeys,Wild Turkey
193,890,rufgro,1216.0,Animalia,Chordata,Aves,Galliformes,Phasianidae,Bonasa,umbellus,Bonasa umbellus,Animals,Chordates,Birds,Landfowl,"Pheasants, Grouse, and Allies",,Ruffed Grouse
468,890,rufgro,1216.0,Animalia,Chordata,Aves,Galliformes,Phasianidae,Bonasa,umbellus,Bonasa umbellus,Animals,Chordates,Birds,Landfowl,"Pheasants, Grouse, and Allies",,Ruffed Grouse
169,981,rinphe1,1404.0,Animalia,Chordata,Aves,Galliformes,Phasianidae,Phasianus,colchicus,Phasianus colchicus,Animals,Chordates,Birds,Landfowl,"Pheasants, Grouse, and Allies",,Ring-necked Pheasant
